Nome,CEP,Endereço,Cidade,Estado,Status
"PROPOSTES","61915-055","Sem endereço","MARACANAÚ","","Pendente"
"PROQUIMICA LABORATORIOS LTDA","40301-296","Sem endereço","SALVADOR","","Pendente"
"PROT SERVIS","60334-510","Sem endereço","FORTALEZA","","Pendente"
"PULSO ENGENHARIA","60130-080","Sem endereço","FORTALEZA","","Pendente"
"PVC INDUSTRIA E COMERCIO DE PLASTICOS LTDA","63041-010","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"PYLA","61605-600","Sem endereço","CAUCAIA","","Pendente"
"Petri Pneus","60740-005","Sem endereço","FORTALEZA","","Pendente"
"Polyspace","62790-000","Sem endereço","REDENÇÃO","","Pendente"
"QAIR BRASIL PARTICIPACOES S.A.","60120-000","Sem endereço","FORTALEZA","","Pendente"
"QUALIGRAF - EDITORA E GRAFICA LTDA","60440-022","Sem endereço","FORTALEZA","","Pendente"
"QUALILAV","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"QUALIMEDICAL","40280-000","Sem endereço","SALVADOR","","Pendente"
"QUALYLAVE","62674-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"QUARTZOLIT WEBER","06622-480","Sem endereço","JANDIRA","","Pendente"
"QUEIJOS DOM AFONSO","61769-220","Sem endereço","EUSÉBIO","","Pendente"
"QUEIROZ PARTICIPACOES S.A.","60135-690","Sem endereço","FORTALEZA","","Pendente"
"QUIMICA GUAIUBA - UNO LAR","61890-000","Sem endereço","GUAIUBA","","Pendente"
"QUINTELLA ENGENHARIA","24230-100","Sem endereço","NITERÓI","","Pendente"
"R A SPORTS","60734-455","Sem endereço","FORTALEZA","","Pendente"
"R B COLCHOES","60020-030","Sem endereço","FORTALEZA","","Pendente"
"R C A LINGERIE","60510-137","Sem endereço","FORTALEZA","","Pendente"
"R C AMARAL COMERCIO E SERVICOS","67140-250","Sem endereço","ANANINDEUA","","Pendente"
"R FURLANI","60861-635","Sem endereço","FORTALEZA","","Pendente"
"R N BRITAGEM EIRELI","63870-000","Sem endereço","BOA VIAGEM","","Pendente"
"R P COMERCIO DE MERCADORIAS EM GERAL EIRELI","62265-000","Sem endereço","FORTALEZA","","Pendente"
"R.S PLASPEL INDUSTRIA E COMERCIO DE PLASTICOS E PAPEIS","61884-412","Sem endereço","ITAITINGA","","Pendente"
"R3 AGROPECUARIA LTDA","62560-000","Sem endereço","MARCO","","Pendente"
"R7 PLAST","61766-720","Sem endereço","EUSÉBIO","","Pendente"
"RACOES CARNEIRO","62940-000","Sem endereço","MORADA NOVA","","Pendente"
"RACOES CARNEIRO","63800-000","Sem endereço","QUIXERAMOBIM","","Pendente"
"RACOES FRI RIBE S A","14750-000","Sem endereço","PITANGUEIRAS","","Pendente"
"RACOES GOLFINHO LTDA","62023-120","Sem endereço","SOBRAL","","Pendente"
"RAIMUNDO AUTOPECAS","59620-592","Sem endereço","MOSSORÓ","","Pendente"
"RAIMUNDO LUNA DE OLIVEIRA JUNIOR","65130-000","Sem endereço","PAÇO DO LUMIAR","","Pendente"
"RAIMUNDO NONATO FILGUEIRA DE MELO ( Renovadora Brasil )","59620-595","Sem endereço","MOSSORÓ","","Pendente"
"RAIZEN S.A.","60741-900","Sem endereço","FORTALEZA","","Pendente"
"RAMAGEM COUROS","63050-690","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"RAMEL ALIMENTOS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"RAMPINELLI ALIMENTOS LTDA","55045-070","Sem endereço","CARUARU","","Pendente"
"RANCO EMBALAGENS SA","60864-190","Sem endereço","FORTALEZA","","Pendente"
"RCR","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"REAL FOOD SERVICE","61939-210","Sem endereço","MARACANAÚ","","Pendente"
"REAL PLASTICOS","61933-355","Sem endereço","MARACANAÚ","","Pendente"
"REALIZE AUTOMACAO E MANUTENCAO INDUSTRIAL","62870-000","Sem endereço","PACAJUS","","Pendente"
"RECAMONDE ARTEFATOS DE COURO LTDA","60330-878","Sem endereço","FORTALEZA","","Pendente"
"RECICLALL","61943-490","Sem endereço","MARANGUAPE","","Pendente"
"RECONFLEX NORDESTE","55040-120","Sem endereço","CARUARU","","Pendente"
"REDEMAQUINAS","60850-015","Sem endereço","FORTALEZA","","Pendente"
"REFIL","60850-665","Sem endereço","FORTALEZA","","Pendente"
"REFIMOSAL REFINACAO E MOAGEM DE SAL SANTA HELENA","59623-300","Sem endereço","MOSSORÓ","","Pendente"
"REFINARIA DE SAL GARCA LTDA","59668-000","Sem endereço","PORTO DO MANGUE","","Pendente"
"REFINARIA DE SAL GARCA LTDA - EPP","59623-300","Sem endereço","MOSSORÓ","","Pendente"
"REFRAMAX ENGENHARIA LTDA","31255-110","Sem endereço","BELO HORIZONTE","","Pendente"
"REFRAMAX ENGENHARIA LTDA","65085-239","Sem endereço","SÃO LUÍS","","Pendente"
"REFRICENTER REFRIGERACAO","65010-600","Sem endereço","SÃO LUÍS","","Pendente"
"REFRIGENEW EQUIPAMENTOS","09991-000","Sem endereço","DIADEMA","","Pendente"
"REFRIGERACAO EM GERAL","60545-290","Sem endereço","FORTALEZA","","Pendente"
"REGENCE VEICULOS PECAS E SERVICOS LTDA","60191-156","Sem endereço","FORTALEZA","","Pendente"
"REGINA AGROINDUSTRIAL S A","60872-260","Sem endereço","FORTALEZA","","Pendente"
"REGIONAL PALLETS","59609-004","Sem endereço","MOSSORÓ","","Pendente"
"REI DE OURO ALIMENTOS","58378-000","Sem endereço","ITATUBA","","Pendente"
"REI DO COTTON","61880-000","Sem endereço","ITAITINGA","","Pendente"
"REI PLASTIC TECNOLOGIA EM PLASTICOS LTDA","13054-103","Sem endereço","CAMPINAS","","Pendente"
"REJUNTAMIX","61650-110","Sem endereço","CAUCAIA","","Pendente"
"RELVA REFRIGERANTES","64038-030","Sem endereço","TERESINA","","Pendente"
"RENO 1000 RENOVADORA DE PNEUS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"RENOMIC PNEUS","60862-010","Sem endereço","FORTALEZA","","Pendente"
"RENOMIC PNEUS","60862-010","Sem endereço","FORTALEZA","","Pendente"
"RENOTEC PNEUS","60150-161","Sem endereço","FORTALEZA","","Pendente"
"RENOVADORA AKI PNEUS","","Sem endereço","FORTALEZA","","Pendente"
"RENOVADORA DE PNEUS CAVALCANTE LTDA","62010-480","Sem endereço","SOBRAL","","Pendente"
"RENOVADORA DE PNEUS MACAPA","68909-698","Sem endereço","MACAPÁ","","Pendente"
"RENOVADORA DE PNEUS MARACANA LTDA","65095-602","Sem endereço","SÃO LUÍS","","Pendente"
"RENOVADORA DE PNEUS MATOS LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"RENOVADORA DE PNEUS NOGUEIRA LTDA","61930-220","Sem endereço","MARACANAÚ","","Pendente"
"RENOVADORA DE PNEUS OLICO LTDA","60850-015","Sem endereço","FORTALEZA","","Pendente"
"RENOVADORA DE PNEUS OLIVEIRA LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"RENOVADORA NORDESTE","61634-000","Sem endereço","CAUCAIA","","Pendente"
"RENOVADORA PAIZAO","65095-600","Sem endereço","SÃO LUÍS","","Pendente"
"RENOVE PNEUS","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"RENOVE PNEUS","53413-000","Sem endereço","PAULISTA","","Pendente"
"REPLASTIL","58400-002","Sem endereço","CAMPINA GRANDE","","Pendente"
"REPRASAL","59616-000","Sem endereço","MOSSORÓ","","Pendente"
"RESTAURANTE ESKINA DO SERTAO","60820-015","Sem endereço","FORTALEZA","","Pendente"
"REVEMAR","66093-026","Sem endereço","BELÉM","","Pendente"
"REVTECH WIND SOLUTIONS","60120-340","Sem endereço","FORTALEZA","","Pendente"
"RIGEL DO BRASIL","61921-525","Sem endereço","MARACANAÚ","","Pendente"
"RIHOMO","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"RIO DE JANEIRO GABINETE DO PREFEITO","22260-006","Sem endereço","RIO DE JANEIRO","","Pendente"
"RIO DO PEIXE INDUSTRIA DE AGUA MINERAL LTDA.","63047-165","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"RIOPET EMBALAGENS S.A.","61939-170","Sem endereço","MARACANAÚ","","Pendente"
"RIVEL MOVEIS","60850-010","Sem endereço","FORTALEZA","","Pendente"
"RLC SERVICOS E TREINAMENTOS EM SISTEMAS ELETRICOS","60430-620","Sem endereço","FORTALEZA","","Pendente"
"RM RENOVACAO MOTORES","53545-170","Sem endereço","ABREU E LIMA","","Pendente"
"RMG COUROS","63040-695","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"RN EMBALAGENS","61950-000","Sem endereço","MARANGUAPE","","Pendente"
"ROCA SANITARIOS BRASIL LTDA","61680-000","Sem endereço","CAUCAIA","","Pendente"
"RODOCEARA","60874-212","Sem endereço","FORTALEZA","","Pendente"
"RODOCEARA AUTO PECAS LTDA","60874-401","Sem endereço","FORTALEZA","","Pendente"
"ROGUIMO","61600-000","Sem endereço","FORTALEZA","","Pendente"
"ROLITEC COMERCIO ROCHA LIMA LTDA - ME","60420-775","Sem endereço","FORTALEZA","","Pendente"
"ROMAZI","61917-480","Sem endereço","MARACANAÚ","","Pendente"
"RONALDO TEIXEIRA NUNES","39400-215","Sem endereço","MONTES CLAROS","","Pendente"
"ROPEC","61917-480","Sem endereço","MARACANAÚ","","Pendente"
"ROSA & CLARA LAVANDERIA","61922-165","Sem endereço","MARACANAÚ","","Pendente"
"ROSA & CLARA LAVANDERIA E TINTURARIA INDUSTRIAL LTDA","61922-165","Sem endereço","MARACANAÚ","","Pendente"
"ROSO RECUPERADORA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"ROSSINE BARBOSA CARTAXO LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"ROTH NORDESTE COMPONENTES PARA CALCADOS LTDA","45700-000","Sem endereço","ITAPETINGA","","Pendente"
"RP DISTRIBUIDORA LTDA","47858-002","Sem endereço","LUÍS EDUARDO MAGALHÃES","","Pendente"
"RPM","60865-240","Sem endereço","FORTALEZA","","Pendente"
"RPV PNEUS","61930-220","Sem endereço","MARACANAÚ","","Pendente"
"RT PLASTICOS","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"RTK PARTS","22790-707","Sem endereço","RIO DE JANEIRO","","Pendente"
"RUAH INDUSTRIA E COMERCIO DE MOVEIS LTDA","62560-000","Sem endereço","MARCO","","Pendente"
"RUBBERLOSS INDUSTRIA DE CALCADOS E COMPONENTES LTDA","62700-000","Sem endereço","CANINDÉ","","Pendente"
"RUMOS","61935-240","Sem endereço","MARACANAÚ","","Pendente"
"RUPLAST","54335-000","Sem endereço","JABOATÃO DOS GUARARAPES","","Pendente"
"RUST ENGENHARIA LTDA","42801-737","Sem endereço","CAMAÇARI","","Pendente"
"RVNOR INDUSTRIA E COMERCIO DE BEBIDAS LTDA FALIDO","61800-000","Sem endereço","PACATUBA","","Pendente"
"RW INDUSTRIAL DE ALIMENTOS","61607-020","Sem endereço","CAUCAIA","","Pendente"
"RWF COMERCIO E SERVICOS","61930-365","Sem endereço","MARACANAÚ","","Pendente"
"Redepel MM Embalagens","61880-000","Sem endereço","ITAITINGA","","Pendente"
"Rsc Industria e Comercio de Materiais - Recicladora Santa Cecilia","61880-000","Sem endereço","ITAITINGA","","Pendente"
"S-DESIGN MOTORS COMERCIO E SERVICOS DE AUTOMOVEIS","60192-022","Sem endereço","FORTALEZA","","Pendente"
"S.S. Indústria e Comércio de Móveis","58303-899","Sem endereço","SANTA RITA","","Pendente"
"S/D","55590-000","Sem endereço","IPOJUCA","","Pendente"
"S2 MINERACAO LTDA","62785-970","Sem endereço","ACARAPE","","Pendente"
"S3 Etiquetas","62880-000","Sem endereço","HORIZONTE","","Pendente"
"SABAO GUARANI","59619-218","Sem endereço","MOSSORÓ","","Pendente"
"SABAO JUA","63047-020","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"SABARA","53700-000","Sem endereço","ITAPISSUMA","","Pendente"
"SABARA","61800-100","Sem endereço","PACATUBA","","Pendente"
"SABARA","75132-030","Sem endereço","ANÁPOLIS","","Pendente"
"SABOR & VIDA","61979-000","Sem endereço","MARANGUAPE","","Pendente"
"SACYR CONSTRUCCION S/A DO BRASIL","04551-010","Sem endereço","SÃO PAULO","","Pendente"
"SAINT-GOBAIN  - PARÁ","68795-000","Sem endereço","BENEVIDES","","Pendente"
"SAINT-GOBAIN DO BRASIL PRODUTOS INDUSTRIAIS E PARA","61800-100","Sem endereço","PACATUBA","","Pendente"
"SAL ESTRELA","59600-970","Sem endereço","MOSSORÓ","","Pendente"
"SAL LESTE - Paulo Victor Alves de Sousa","59612-105","Sem endereço","MOSSORÓ","","Pendente"
"SAL NOTA DEZ","59609-009","Sem endereço","MOSSORÓ","","Pendente"
"SALINA DIAMANTE BRANCO LTDA","59596-000","Sem endereço","GALINHOS","","Pendente"
"SALINOR - SALINAS DO NORDESTE S.A","59500-000","Sem endereço","MACAU","","Pendente"
"SAM&apos;S FORTALEZA","60175-652","Sem endereço","FORTALEZA","","Pendente"
"SAMARA ARAUJO TAVARES CAMPOS","61917-290","Sem endereço","MARACANAÚ","","Pendente"
"SAMARIA RACOES","61931-030","Sem endereço","MARACANAÚ","","Pendente"
"SAN MARINO INDUSTRIA E COMERCIO LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"SANDALIAS APUANA","63041-010","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"SANGATI BERGA SA","60340-494","Sem endereço","FORTALEZA","","Pendente"
"SANOVO GREENPACK EMBALAGENS DO BRASIL LTDA","59173-000","Sem endereço","GOIANINHA","","Pendente"
"SANTA CASA DE MISERICORDIA DE SOBRAL","62010-550","Sem endereço","SOBRAL","","Pendente"
"SANTA CASA DE PARACURU","62680-000","Sem endereço","PARACURU","","Pendente"
"SANTA CASA FORTALEZA","60025-060","Sem endereço","FORTALEZA","","Pendente"
"SANTA CECILIA TEMPERA","63100-970","Sem endereço","CRATO","","Pendente"
"SANTA CLARA MOVEIS E EQUIPAMENTOS HOSPITALARES LTDA","61910-080","Sem endereço","MARACANAÚ","","Pendente"
"SANTA IZABEL ALIMENTOS LTDA","77908-000","Sem endereço","AGUIARNÓPOLIS","","Pendente"
"SANTANA REFRIGERACAO E INSTRUMENTACAO LTDA","07222-000","Sem endereço","GUARULHOS","","Pendente"
"SANTANA REFRIGERACAO E INSTRUMENTACAO LTDA","05550-000","Sem endereço","SÃO PAULO","","Pendente"
"SANTANA TEXTIL S.A - EM RECUPERACAO JUDICIAL","62880-001","Sem endereço","HORIZONTE","","Pendente"
"SANTELISA","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"SANTELISA INDUSTRIA DE EMBALAGENS S/A","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"SANTIN EMPRESA DE TRANSPORTES ESPECIAIS LTDA.","61760-490","Sem endereço","EUSÉBIO","","Pendente"
"SAO BRAZ AGROINDUSTRIAL","65145-000","Sem endereço","SANTA RITA","","Pendente"
"SAO GERALDO AGUAS MINERAIS LTDA","63041-320","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"SAO MARCOS FABRICACOES INDUSTRIAIS","55607-010","Sem endereço","VITÓRIA DE SANTO ANTÃO","","Pendente"
"SARAH BELO HORIZONTE","30510-000","Sem endereço","BELO HORIZONTE","","Pendente"
"SARAH BRASILIA","70322-000","Sem endereço","BRASÍLIA","","Pendente"
"SARAH SALVADOR","41820-900","Sem endereço","SALVADOR","","Pendente"
"SARAH SAO LUIS","65035-270","Sem endereço","SÃO LUÍS","","Pendente"
"SARE MAQUINAS","06409-110","Sem endereço","BARUERI","","Pendente"
"SB MANUTENCOES","60150-165","Sem endereço","FORTALEZA","","Pendente"
"SBRAS INDUSTRIA E COMERCIO DE TINTAS LTDA","62790-000","Sem endereço","REDENÇÃO","","Pendente"
"SCHNEIDER ELECTRIC BRASIL LTDA.","61760-051","Sem endereço","EUSÉBIO","","Pendente"
"SEARA PRAIA HOTEL","60165-120","Sem endereço","FORTALEZA","","Pendente"
"SEBASTIÃO FLAVIO BRITO SOARES","39400-215","Sem endereço","MONTES CLAROS","","Pendente"
"SELECTUS","60811-341","Sem endereço","FORTALEZA","","Pendente"
"SEMP TOSHIBA","07786-900","Sem endereço","CAJAMAR","","Pendente"
"SENAI - DEPARTAMENTO REGIONAL DE SAO PAULO","01311-923","Sem endereço","SÃO PAULO","","Pendente"
"SENAI DEPARTAMENTO REGIONAL DO CEARA","60010-690","Sem endereço","FORTALEZA","","Pendente"
"SENSUALITY","60416-000","Sem endereço","FORTALEZA","","Pendente"
"SEPARAR PRODUTOS E SERVICOS LTDA","21852-002","Sem endereço","RIO DE JANEIRO","","Pendente"
"SEQUENCIA","60411-160","Sem endereço","FORTALEZA","","Pendente"
"SERIMPLAST COMERCIO DE BORRACHAS E PLASTICOS LTDA","08110-330","Sem endereço","SÃO PAULO","","Pendente"
"SERRANA PAPEIS","29162-155","Sem endereço","SERRA","","Pendente"
"SERRARIA ALMEIDA LTDA","60740-000","Sem endereço","FORTALEZA","","Pendente"
"SERRARIA O ZEZAO","62595-000","Sem endereço","CRUZ","","Pendente"
"SERRARIA SERROTINHO","60821-460","Sem endereço","FORTALEZA","","Pendente"
"SERTAO JUCURUTU - LATICINIOS","59330-000","Sem endereço","JUCURUTU","","Pendente"
"SERTMAQ SERVICOS","61933-315","Sem endereço","MARACANAÚ","","Pendente"
"SERV SAL","59649-899","Sem endereço","MOSSORÓ","","Pendente"
"SESA","60060-440","Sem endereço","FORTALEZA","","Pendente"
"SETE ELETRONICA","60135-100","Sem endereço","FORTALEZA","","Pendente"
"SETHVAC","02010-000","Sem endereço","SÃO PAULO","","Pendente"
"SETUR","60830-120","Sem endereço","FORTALEZA","","Pendente"
"SEVEN MANUTENCAO E TORNEARIA","60864-260","Sem endereço","FORTALEZA","","Pendente"
"SG PRE-MOLDADOS LTDA.","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"SHOPPING TURISMO - AGENCIA DE VIAGENS LTDA","60160-194","Sem endereço","FORTALEZA","","Pendente"
"SI SERVICOS INDUSTRIAIS","29198-218","Sem endereço","ARACRUZ","","Pendente"
"SIARA MAQUINAS E SERVICOS LTDA","60541-672","Sem endereço","FORTALEZA","","Pendente"
"SICA","61935-045","Sem endereço","MARACANAÚ","","Pendente"
"SIGURA","53610-800","Sem endereço","IGARASSU","","Pendente"
"SIKA S A","53411-902","Sem endereço","PAULISTA","","Pendente"
"SILAT","61690-975","Sem endereço","CAUCAIA","","Pendente"
"SILCAR SANTOS DUMONT","60175-047","Sem endereço","FORTALEZA","","Pendente"
"SILCAR VEICULOS BENFICA","60040-081","Sem endereço","FORTALEZA","","Pendente"
"SILVESTRE","62010-160","Sem endereço","SOBRAL","","Pendente"
"SIMPLES PASSO","62620-000","Sem endereço","IRAUÇUBA","","Pendente"
"SIMPLIFIQUE","61913-005","Sem endereço","MARACANAÚ","","Pendente"
"SINCOPLEMA SOC INDL E COML PROD LIMPEZA DO MARANHÃ","65607-440","Sem endereço","CAXIAS","","Pendente"
"SINGER JUAZEIRO INDUSTRIA E COMERCIO DE MAQUINAS LTDA.","63024-550","Sem endereço","JUAZEIRO DO NORTE","","Pendente"
"SINOBRAS","68501-535","Sem endereço","MARABÁ","","Pendente"
"SJ PNEUS","62053-105","Sem endereço","SOBRAL","","Pendente"
"SL ALIMENTOS S.A.","61634-100","Sem endereço","CAUCAIA","","Pendente"
"SM & A SISTEMAS ELETRICOS LTDA","30350-093","Sem endereço","BELO HORIZONTE","","Pendente"
"SM CONSTRUCOES","60125-160","Sem endereço","FORTALEZA","","Pendente"
"SMP - INDUSTRIA E COMERCIO DE MOVEIS LTDA EM RECUPERACAO JUD","55680-000","Sem endereço","BONITO","","Pendente"
"SMURFIT KAPPA","61946-220","Sem endereço","MARANGUAPE","","Pendente"
"SO CLORO","53610-451","Sem endereço","IGARASSU","","Pendente"
"SO MANGUEIRAS","58414-500","Sem endereço","CAMPINA GRANDE","","Pendente"
"SO MANGUEIRAS E CONEXOES LTDA","58400-034","Sem endereço","CAMPINA GRANDE","","Pendente"
"SO RAFIA","62115-000","Sem endereço","FORQUILHA","","Pendente"
"SO VEDACOES","60015-061","Sem endereço","FORTALEZA","","Pendente"
"SOBRAL GRAFICA E EDITORA","62010-290","Sem endereço","SOBRAL","","Pendente"
"SOCEL - SOCIEDADE OESTE LTDA.","59605-210","Sem endereço","MOSSORÓ","","Pendente"
"SOCIEDADE HOSPITALAR SAO FRANCISCO DE CANINDE","62700-000","Sem endereço","CANINDÉ","","Pendente"
"SOCIMOL INDUSTRIA DE COLCHOES E MOVEIS S.A","64019-734","Sem endereço","TERESINA","","Pendente"
"SOFIS INDUSTRIA E COMERCIO DE CASTANHAS DO NORDESTE LTDA","61700-000","Sem endereço","AQUIRAZ","","Pendente"
"SOFISTICASA ESTOFADOS","62560-000","Sem endereço","MARCO","","Pendente"
"SOLANGE ALVES MEDEIROS","65051-460","Sem endereço","SÃO LUÍS GONZAGA DO MARANHÃO","","Pendente"
"SOLAR - COCA COLA MA","65095-604","Sem endereço","SÃO LUÍS","","Pendente"
"SOLAR PARTICIPACOES - COCA COLA MARACANAU","61939-170","Sem endereço","MARACANAÚ","","Pendente"
"SOLENIS DO BRASIL QUIMICAS LTDA.","13470-437","Sem endereço","AMERICANA","","Pendente"
"SOLENIS ESPECIALIDADES QUIMICAS LTDA.","54503-010","Sem endereço","CABO DE SANTO AGOSTINHO","","Pendente"
"SOLTEX LTDA","63660-000","Sem endereço","TAUÁ","","Pendente"
"SONHOS DA CRIS ATELIE","60864-380","Sem endereço","FORTALEZA","","Pendente"
"SOPOLPA","63300-000","Sem endereço","LAVRAS DA MANGABEIRA","","Pendente"
"SORDI PLÁSTICOS","62884-805","Sem endereço","HORIZONTE","","Pendente"
"SOS OXIGENIO","58011-040","Sem endereço","JOÃO PESSOA","","Pendente"
"SOU ENERGY SOLAR","61767-690","Sem endereço","EUSÉBIO","","Pendente"
"SOUSA MOVEIS","65765-000","Sem endereço","DOM PEDRO","","Pendente"
"SPARTEX INDUSTRIA E COMERCIO","62030-595","Sem endereço","SOBRAL","","Pendente"
"SPDM-PAIS-UNIDADES DE ATENCAO PRIMARIA E ESPECIALIZADA","60532-690","Sem endereço","FORTALEZA","","Pendente"
"SPECIALE PAES ARTESANAIS","60811-000","Sem endereço","FORTALEZA","","Pendente"
"SPOT INDUSTRIA E COMERCIO DE TELHAS LTDA","61931-050","Sem endereço","MARACANAÚ","","Pendente"
"STAMPART","60000-000","Sem endereço","FORTALEZA","","Pendente"
"STARFOR","60170-251","Sem endereço","FORTALEZA","","Pendente"
"STARGESSO INDUSTRIAL LTDA","61931-050","Sem endereço","MARACANAÚ","","Pendente"
"STARGESSO INDUSTRIAL LTDA","63165-000","Sem endereço","NOVA OLINDA","","Pendente"
"STARPRINT","60020-295","Sem endereço","FORTALEZA","","Pendente"
"START","60842-050","Sem endereço","FORTALEZA","","Pendente"
"STEIN NORDESTE","61946-105","Sem endereço","MARANGUAPE","","Pendente"
"STEMAC","60871-165","Sem endereço","FORTALEZA","","Pendente"
"STEMAX","61932-080","Sem endereço","MARACANAÚ","","Pendente"
"STER BOM","59280-000","Sem endereço","MACAÍBA","","Pendente"
"STERICYCLE","51030-510","Sem endereço","RECIFE","","Pendente"
"STMA CONSULTORIA & TREINAMENTOS","60710-480","Sem endereço","FORTALEZA","","Pendente"
"STOCK DISTRIBUIDORA LTDA","61763-830","Sem endereço","EUSÉBIO","","Pendente"
"STRATURA ASFALTOS S.A.","61910-000","Sem endereço","MARACANAÚ","","Pendente"
"SUBAE RECAPAGENS DE PNEUS LTDA - EPP","59623-310","Sem endereço","MOSSORÓ","","Pendente"
"SUCESSO AGROINDUSTRIAL E CONSULTORIA LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"SUCOS DO BRASIL S/A EM RECUPERACAO JUDICIAL","62870-000","Sem endereço","PACAJUS","","Pendente"
"SUCOS IMBIARA","64640-000","Sem endereço","SANTO ANTÔNIO DE LISBOA","","Pendente"
"SUGAR SHOES INDUSTRIA DE CALCADOS LTDA","63600-000","Sem endereço","SENADOR POMPEU","","Pendente"
"SUGAR SHOES INDUSTRIA DE CALCADOS LTDA.","63600-000","Sem endereço","SENADOR POMPEU","","Pendente"
"SUMITOMO CHEMICAL","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"SUNLIGHT ENERGY","62670-000","Sem endereço","SÃO GONÇALO DO AMARANTE","","Pendente"
"SUPER LIMPO","60125-001","Sem endereço","FORTALEZA","","Pendente"
"SUPERGASBRAS ENERGIA LTDA","61685-974","Sem endereço","CAUCAIA","","Pendente"
"SUPERMANUTENCAO","03210-001","Sem endereço","SÃO PAULO","","Pendente"
"SUPERMERCADO SÃO FRANCISCO","60540-810","Sem endereço","FORTALEZA","","Pendente"
"SUPERMIX","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"SUPERMIX CONCRETO","61605-600","Sem endereço","CAUCAIA","","Pendente"
"SUPPORT PRODUTOS NUTRICIONAIS LTDA","04547-130","Sem endereço","SÃO PAULO","","Pendente"
"SUPREMA CAJU","62870-000","Sem endereço","PACAJUS","","Pendente"
"SURIEL DISTRIBUIDORA DE PECAS LTDA (Teresina)","64022-990","Sem endereço","TERESINA","","Pendente"
"SURIEL MEGA TRUCK LTDA","62320-000","Sem endereço","TIANGUÁ","","Pendente"
"SUZANO PAPEL E CELULOSE","65919-050","Sem endereço","IMPERATRIZ","","Pendente"
"SUZANO S.A.","61939-000","Sem endereço","MARACANAÚ","","Pendente"
"SUZANO S.A.","45930-000","Sem endereço","MUCURI","","Pendente"
"SYN COMERCIO DE LUBRIFICANTES LTDA","07224-107","Sem endereço","GUARULHOS","","Pendente"
"SYNPACK","60415-560","Sem endereço","FORTALEZA","","Pendente"
"Sal Cavalinho","59600-010","Sem endereço","MOSSORÓ","","Pendente"
"Sand Beach","60720-690","Sem endereço","FORTALEZA","","Pendente"
"SÃO BRAZ IND. DE BEBIDAS LTDA","61760-000","Sem endereço","EUSÉBIO","","Pendente"
"T&A PRE MOLDADOS","61931-030","Sem endereço","MARACANAÚ","","Pendente"
"TALIMPO - Multclean Produtos De Limpeza","62887-435","Sem endereço","HORIZONTE","","Pendente"
"TB ENGENHARIA","60135-101","Sem endereço","FORTALEZA","","Pendente"
"TB NORDESTE INDUSTRIA E COMERCIO DE REVESTIMENTOS S/A EM REC","59600-970","Sem endereço","MOSSORÓ","","Pendente"
"TB TECH AUTOMACAO E PNEUMATICA","61930-360","Sem endereço","MARACANAÚ","","Pendente"
"TB TECH AUTOMOCAO E PNEUMATICA","58434-000","Sem endereço","CAMPINA GRANDE","","Pendente"
"TB TRANSPORTES LTDA","61616-025","Sem endereço","CAUCAIA","","Pendente"
"TBM - TEXTIL BEZERRA DE MENEZES S/A","60761-281","Sem endereço","FORTALEZA","","Pendente"
"TBM - TEXTIL BEZERRA DE MENEZES S/A","61939-170","Sem endereço","MARACANAÚ","","Pendente"
"TBM - TEXTIL BEZERRA DE MENEZES S/A","61910-000","Sem endereço","MARACANAÚ","","Pendente"
"TBM S A INDUSTRIA TEXTIL","60761-281","Sem endereço","FORTALEZA","","Pendente"
"TECIDOS LIDER INDUSTRIA E COMERCIO LTDA","59619-000","Sem endereço","MOSSORÓ","","Pendente"
"TECIMOLD INDUSTRIA DE ARTIGOS DE VESTIARIO EIRELI","45700-000","Sem endereço","ITAPETINGA","","Pendente"
"TECLAV","61760-000","Sem endereço","EUSÉBIO","","Pendente"
